route_number,weekday_headway_sec,saturday_headway_sec,holiday_headway_sec
01A,540,600,600
01B,840,840,840
0017,780,840,840
040,900,1020,1140
100,600,660,720
101,480,720,720
102,660,600,840
103,540,600,600
104,480,600,600
105,660,720,780
107,720,900,1140
109,720,840,960
110A고려대,540,660,840
110B국민대,540,660,720
111,1320,1560,1680
120,360,600,600
121,480,660,660
130,480,660,660
140,420,660,660
141,660,600,600
142,540,600,600
143,360,420,540
144,480,660,720
145,480,600,720
146,420,540,660
147,540,600,660
148,480,600,720
150,480,600,780
151,420,840,840
152,420,660,660
160,480,600,720
162,480,540,600
163,420,600,600
171,540,720,720
172,660,780,780
173,660,840,840
201,900,1020,1260
202,480,600,720
240,780,960,960
241,600,720,900
242,840,900,1020
260,600,660,780
261,540,660,660
262,600,780,840
270,600,660,720
271,360,600,600
272,360,600,600
273,420,480,540
301,420,540,540
302,720,720,720
303,540,660,660
320,540,600,720
333,660,720,780
340,420,600,600
341,720,840,900
342,660,720,840
343,900,960,960
345,720,780,780
350,720,780,900
360,360,600,600
361,720,780,840
370,300,480,540
400,660,720,1020
401,660,780,900
402,540,660,780
405,900,960,1080
406,660,780,780
0411,840,900,900
420,540,600,660
421,540,600,660
422,1080,1080,1380
440,660,720,720
441,720,840,840
452,720,720,780
461,660,720,780
463,600,780,780
470,600,720,780
472,540,540,660
500,540,660,840
501,540,600,660
502,660,720,780
503,840,960,1080
504,420,600,600
505,660,780,1020
506,840,840,900
507,540,720,900
540,960,1020,1080
541,900,1020,1020
571,660,720,780
600,480,600,660
601,720,780,840
602,540,600,660
603,600,780,840
604,660,780,900
605,600,660,780
606,840,1020,1200
640,600,780,840
641,360,600,600
643,600,660,660
650,600,720,780
651,660,780,840
652,600,720,840
653,960,1080,1080
654,720,840,900
660,900,1020,1140
661,960,1440,1440
662,720,840,840
672,900,960,960
673,960,1200,1200
674,780,900,1080
700,840,960,1020
701,840,780,1080
702A,540,660,780
702B,960,1200,1200
703,1200,1140,1380
704,960,960,1140
705,960,1080,1080
706,840,960,960
707,780,840,960
708,720,840,1080
709,720,900,960
710,540,720,780
720,480,540,600
721,540,720,720
740,720,720,720
741,600,720,960
742,660,720,780
750A,600,600,600
750B,360,600,600
752,660,720,660
753,720,780,1020
760,1020,1080,1080
761,600,720,780
771,1440,1560,1620
1014,480,600,600
1017,900,1020,1140
1020,540,600,660
1111,600,600,600
1112,720,780,780
1113,900,1080,1080
1114,900,900,900
1115,780,1020,1020
1116,1080,1200,1200
1119,480,600,600
1120,900,1080,1140
1122,540,660,660
1124,840,960,960
1126,480,600,660
1127,840,840,840
1128,720,720,720
1129,1500,1500,1500
1130,540,600,600
1131,1020,1260,1620
1132,480,600,600
1133,720,720,1080
1135,600,780,780
1136,900,780,840
1137,660,720,780
1138,900,1020,1380
1139,780,780,900
1140,1260,1260,1440
1141,960,1500,1500
1142,480,480,480
1143,1140,1260,1260
1144,840,1140,1140
1154,900,960,1020
1162,600,720,720
1164,360,600,600
1165,480,540,540
1167,600,840,960
1213,720,720,720
1218,660,660,660
1221,1200,1380,1380
1222,600,660,660
1224,420,600,660
1226,2160,2160,4260
1227,600,780,780
1711,420,600,600
2012,660,780,1020
2013,780,900,900
2014,720,840,960
2015,480,600,780
2016,660,840,840
2112,840,960,1080
2113,600,660,720
2114,720,720,840
2115,480,600,600
2155,600,720,720
2211,360,540,600
2212,840,1020,1020
2221,660,840,1140
2222,900,1020,1080
2224,780,840,960
2227,660,720,840
2230,480,600,720
2233,900,900,960
2236,780,840,900
2311,780,900,960
2312,960,1140,1140
2412,780,780,900
2413,900,900,840
2415,960,960,960
2416,960,1020,1140
3011,660,720,900
3212,840,960,1080
3214,780,840,840
3216,780,1080,1140
3217,540,660,720
3220,1020,1140,1200
3313,480,660,780
3314,600,720,900
3315,420,540,540
3316,720,720,720
3317,600,600,600
3318,720,900,960
3319,1020,1320,1500
3321,840,960,1020
3322,660,720,840
3323,900,1020,1020
3324,780,900,1020
3411,660,720,840
3412,840,960,1020
3413,540,660,780
3414,780,840,1020
3416,720,600,600
3417,420,600,600
3420,720,780,840
3422,780,960,1080
3426,600,780,1020
4211,780,840,900
4212,480,600,600
4312,600,720,780
4318,480,540,660
4319,600,780,780
4425,960,960,960
4432,720,720,720
4433,540,660,660
4435,900,1020,1020
5012,720,900,900
5413,420,600,720
5511,420,660,780
5513,540,540,840
5515,540,600,600
5516,480,600,600
5517,780,840,840
5519,840,960,960
5522A난곡,780,780,780
5522B호암,780,840,1080
5523,840,900,900
5524,480,600,600
5525,1020,1200,1440
5528,720,1200,1200
5530,600,780,780
5531,420,540,600
5535,480,600,660
5536,720,720,780
5537,900,1080,1080
5611,1020,1260,1260
5615,600,840,840
5616,960,1140,1260
5617,600,660,660
5618,660,840,960
5619,660,780,780
5620,480,600,660
5621,480,540,600
5623,480,600,600
5625,660,660,720
5626,720,780,900
5627,1080,1020,1080
5630,840,1020,1080
5633,840,960,1080
5634,780,960,1080
5712,540,600,660
5713,540,660,660
5714,480,600,720
6001,780,780,780
6002,960,960,960
6003,1200,1200,1200
6004,2100,2100,2100
6005,7800,7800,7800
6006,3900,4080,4080
6007,2100,2100,2100
6008,3300,3480,3480
6009,1500,1500,1500
6010,4200,4200,4200
6011,1500,1500,1500
6012,3000,3180,3180
6013,1800,1800,1800
6014,2700,2700,2700
6015,780,780,780
6016,3600,3960,3960
6017,1680,1680,1680
6018,6600,6600,6600
6019,3000,3420,3420
6020,3600,3840,3840
6100,900,900,900
6100-1,6300,6300,6300
6101,12000,12000,12000
6102,2400,2400,2400
6103,3480,3480,3480
6104,19800,19800,19800
6200,2400,2400,2400
6211,660,720,720
6300,2400,2400,2400
6411,720,900,1020
6500,21000,21000,21000
6511,1200,1320,1440
6512,600,780,900
6514,780,840,840
6515,600,720,840
6516,1020,1200,1320
6600,11400,11400,11400
6611,960,900,900
6613,1020,1020,1200
6614,900,1080,1080
6615,1080,1200,1200
6616,960,1020,1080
6617,720,840,840
6620,900,1080,1080
6623,840,900,1020
6624,540,600,660
6625,840,900,1020
6627,840,900,960
6628,420,540,660
6629,720,780,840
6630,960,1260,1380
6631,540,660,720
6632,660,720,900
6633,1080,1260,1260
6637,480,600,600
6638,780,960,1020
6640A,840,1080,1080
6640B,840,960,900
6642,720,840,840
6645,840,960,1020
6647,480,720,780
6648,780,960,1020
6657,1200,1320,1320
6701,1980,1980,1980
6702,2400,2400,2400
6703,3180,3180,3180
6705A,2400,2400,2400
6712,840,900,1020
6713,660,900,960
6714,1020,1080,1140
6715,480,660,720
6716,660,720,780
7011,720,720,900
7013A,1320,1440,1560
7013B,1320,1440,1560
7016,540,660,840
7017,600,660,840
7018,600,720,1020
7019,660,780,840
7021,540,660,780
7022,660,840,900
7024,960,960,960
7025,1140,1140,1440
7211,540,600,660
7212,720,900,960
7611,720,840,900
7612,600,660,720
7613,900,960,1140
7711,720,1080,1080
7713,720,840,1020
7715,600,720,840
7716,1020,1080,1080
7719,1500,1380,1560
7720,720,840,900
7722,780,900,900
7723,780,840,840
7726,1260,1260,1260
7727,720,840,900
7728,780,900,1020
7730,600,720,900
7734,540,600,660
7737,660,840,840
7738,480,600,720
7739,720,960,1140
8002,1500,1500,1500
8003,2400,1800,2400
8101,600,,
8111,1080,,
8112,900,,
8146,300,,
8221,540,,
8331,660,660,660
8332,1320,,
8333,1020,,
8441,960,,
8442출근,1620,,
8442퇴근,3600,,
8541,1200,780,780
8551,660,660,660
8552,600,,
8561,720,,
8641,300,,
8661,1080,,
8671,1080,,
8762출근,960,,
8762퇴근,840,,
8771,660,660,660
8772,,840,780
8773출근,1920,,
8773퇴근,1920,,
8774,1380,1380,1380
8775출근,900,,
8775퇴근,1200,,
8777,1380,1680,1680
9401,300,360,420
9401-1,900,900,900
9404,420,600,600
9408,900,840,1020
9409,1500,1620,1680
9707,720,780,840
9711,720,960,960
강남01,780,1320,1500
강남02,360,540,540
강남03,780,1380,1380
강남05,540,840,1020
강남06,540,600,660
강남06-1,1380,,
강남06-2,1380,1380,1380
강남07,540,780,780
강남08,1140,1260,1260
강남10,720,900,900
강동01,960,1320,1560
강동02,1020,1560,1560
강동05,900,1320,1320
강북01,540,600,600
강북02,480,600,600
강북03,480,600,600
강북04,840,1020,1020
강북05,600,900,900
강북06,360,420,420
강북08,480,480,840
강북09,540,600,600
강북10,480,540,540
강북11,660,720,720
강북12,600,600,780
강서01,660,780,780
강서02,1500,1500,1500
강서03,780,900,1080
강서04,720,960,960
강서05,600,600,660
강서05-1,1500,1500,1500
강서06,660,1080,1080
강서07,1500,1500,1500
관악01,420,600,600
관악02-1,300,540,540
관악02-2,600,960,960
관악03,360,360,360
관악04,360,360,360
관악05,360,420,420
관악06,240,360,420
관악07,600,600,600
관악08,660,660,660
관악10,360,480,480
관악11,960,960,960
광진01,900,1080,1080
광진02,1080,1080,1500
광진03,660,780,900
광진04,1080,1140,1140
광진05,420,600,600
구로01,420,540,540
구로02,540,540,540
구로03,420,420,540
구로04,720,960,960
구로05,780,780,780
구로06,660,660,660
구로07,1020,1200,1380
구로08,840,960,960
구로09,540,660,660
구로10,780,900,900
구로11,900,1020,1020
구로12,1260,1260,1260
구로13,780,900,1500
구로14,1500,1500,1500
구로15,1500,1500,1500
금천01,240,300,360
금천02,1260,1260,1260
금천03,300,480,480
금천04,600,840,840
금천05,720,900,900
금천06,660,780,780
금천07,900,1020,1020
금천08,660,900,900
금천11,1320,1440,1440
금천11-1,1020,1260,1260
노원01,780,1080,1080
노원02,720,780,780
노원03,780,780,780
노원05,960,960,960
노원08,600,720,840
노원09,900,1020,1140
노원11,900,900,900
노원14,540,600,720
노원15,900,780,1020
도봉01,720,720,780
도봉02,360,420,540
도봉03,720,720,720
도봉04,660,660,660
도봉05,840,900,900
도봉06,840,900,900
도봉07,720,780,780
도봉08,1080,1080,1080
도봉09,540,720,720
동대문01,540,660,780
동대문02,780,1080,1080
동대문03,540,660,720
동대문05,660,840,840
동대문A01,4500,,
동작01,300,360,420
동작02,1020,1200,1200
동작03,780,1020,1020
동작05,1140,1200,1200
동작05-1,1020,1020,1020
동작06,900,960,1260
동작07,720,780,900
동작08,480,660,780
동작09,480,600,600
동작10,1320,1320,1320
동작11,840,1080,1080
동작12,840,1140,1140
동작13,840,900,900
동작14,1260,1260,1680
동작15,1080,1080,1320
동작16,960,960,960
동작17,960,960,960
동작18,1680,1680,1680
동작19,1260,1260,1260
동작20,1500,1500,1500
동작21,1500,1500,1500
동작A01,1380,,
마포01,720,720,720
마포02,720,720,720
마포03,600,900,900
마포05,720,840,840
마포06,540,600,660
마포07,720,720,720
마포08,720,720,720
마포09,540,540,600
마포10,600,660,660
마포11,900,1080,1080
마포12,900,1080,1080
마포13,1620,1620,1620
마포15,660,840,1140
마포16,900,900,900
마포17,600,660,660
마포18,540,900,900
마포18-1,300,900,900
마포순환열차버스,2400,2400,2400
상암A21,3600,,
새벽A148,,,
새벽A160,,,
새벽A504,,,
새벽A741,,,
서대문01,780,1080,1080
서대문02대,660,900,900
서대문02소,1200,1200,1200
서대문03,300,360,420
서대문04,780,1020,1020
서대문05,540,600,660
서대문06,720,840,840
서대문07,1500,1500,1500
서대문08,900,1080,1080
서대문09대,540,540,840
서대문09소,1260,1260,1260
서대문10,960,960,960
서대문11,960,960,960
서대문12,720,1020,1020
서대문13,1680,1680,1680
서대문14,660,1140,1140
